Size,Processes,Time(sec),GFLOPS
200,1,0.016000,1.00
200,2,0.021000,0.76
200,4,0.028000,0.57
200,8,0.035000,0.46
400,1,0.138000,0.93
400,2,0.085000,1.51
400,4,0.065000,1.97
400,8,0.058000,2.21
800,1,0.875000,1.17
800,2,0.490000,2.09
800,4,0.310000,3.30
800,8,0.265000,3.86
1200,1,4.321000,0.80
1200,2,2.350000,1.47
1200,4,1.420000,2.43
1200,8,1.180000,2.93
1600,1,11.892000,0.69
1600,2,6.210000,1.32
1600,4,3.650000,2.24
1600,8,3.020000,2.71
2000,1,27.654000,0.58
2000,2,14.520000,1.10
2000,4,8.340000,1.92
2000,8,7.120000,2.25
